,index,root,inflection,tag,rule,reg
2,2,stodge,stodged,V;PST,+d,Irregular
9,9,strong-arm,strong-armed,V;PST,+ed,Regular
10,10,reprobate,reprobated,V;PST,+d,Irregular
11,11,beshout,beshouted,V;PST,+ed,Regular
17,17,embroid,embroided,V;PST,+ed,Regular
26,26,destigmatise,destigmatised,V;PST,+d,Irregular
29,29,bulk,bulked,V;PST,+ed,Regular
44,44,sheriff,sheriffed,V;PST,+ed,Regular
46,46,wrongtake,wrongtook,V;PST,special,Irregular
47,47,grubble,grubbled,V;PST,+d,Irregular
49,49,forhale,forhaled,V;PST,+d,Irregular
59,59,require,required,V;PST,+d,Irregular
63,63,disarticulate,disarticulated,V;PST,+d,Irregular
73,73,insufflate,insufflated,V;PST,+d,Irregular
88,88,unbrutalize,unbrutalized,V;PST,+d,Irregular
89,89,honeyfugle,honeyfugled,V;PST,+d,Irregular
91,91,ammoniate,ammoniated,V;PST,+d,Irregular
94,94,murk,murked,V;PST,+ed,Regular
98,98,devolve,devolved,V;PST,+d,Irregular
112,112,passivise,passivised,V;PST,+d,Irregular
123,123,stomack,stomacked,V;PST,+ed,Regular
129,129,vada,vadaed,V;PST,+ed,Regular
131,131,harden,hardened,V;PST,+ed,Regular
133,133,halfcock,halfcocked,V;PST,+ed,Regular
136,136,oh,ohed,V;PST,+ed,Regular
137,137,hug,hugged,V;PST,double spell,Irregular
140,140,forthcome,forthcame,V;PST,special,Irregular
141,141,hyperactivate,hyperactivated,V;PST,+d,Irregular
142,142,noint,nointed,V;PST,+ed,Regular
147,147,begowk,begowked,V;PST,+ed,Regular
149,149,sot,sotted,V;PST,double spell,Irregular
151,151,decontrol,decontrolled,V;PST,double spell,Irregular
155,155,emolliate,emolliated,V;PST,+d,Irregular
157,157,spruce,spruced,V;PST,+d,Irregular
169,169,forclem,forclempt,V;PST,special,Irregular
172,172,romanticise,romanticised,V;PST,+d,Irregular
186,186,wedding,weddinged,V;PST,+ed,Regular
198,198,belam,belammed,V;PST,double spell,Irregular
211,211,tool,tooled,V;PST,+ed,Regular
213,213,overbrim,overbrimmed,V;PST,double spell,Irregular
215,215,dogleg,doglegged,V;PST,double spell,Irregular
218,218,over-clock,over-clocked,V;PST,+ed,Regular
220,220,recapture,recaptured,V;PST,+d,Irregular
222,222,tine,tined,V;PST,+d,Irregular
231,231,blotch,blotched,V;PST,+ed,Regular
232,232,dwindle,dwindled,V;PST,+d,Irregular
241,241,siss,sissed,V;PST,+ed,Regular
248,248,outprice,outpriced,V;PST,+d,Irregular
250,250,inamor,inamored,V;PST,+ed,Regular
257,257,snotter,snottered,V;PST,+ed,Regular
259,259,sublet,sublet,V;PST,d-t,Irregular
262,262,spute,sputed,V;PST,+d,Irregular
