,index,root,inflection,tag,rule,reg
4,4,psychoanalyse,psychoanalysing,V;V.PTCP;PRS,-e+ing,Irregular
7,7,pearl,pearling,V;V.PTCP;PRS,+ing,Regular
13,13,deaden,deadening,V;V.PTCP;PRS,+ing,Regular
23,23,cosh,coshing,V;V.PTCP;PRS,+ing,Regular
27,27,spark,sparking,V;V.PTCP;PRS,+ing,Regular
35,35,deauthorise,deauthorising,V;V.PTCP;PRS,-e+ing,Irregular
37,37,hollywoodize,hollywoodizing,V;V.PTCP;PRS,-e+ing,Irregular
43,43,europeanize,europeanizing,V;V.PTCP;PRS,-e+ing,Irregular
51,51,disapply,disapplying,V;V.PTCP;PRS,+ing,Regular
58,58,moider,moidering,V;V.PTCP;PRS,+ing,Regular
61,61,autoclave,autoclaving,V;V.PTCP;PRS,-e+ing,Irregular
64,64,coregister,coregistering,V;V.PTCP;PRS,+ing,Regular
65,65,undercrank,undercranking,V;V.PTCP;PRS,+ing,Regular
68,68,outcoach,outcoaching,V;V.PTCP;PRS,+ing,Regular
69,69,reinspirit,reinspiriting,V;V.PTCP;PRS,+ing,Regular
71,71,sonogram,sonogramming,V;V.PTCP;PRS,double spell,Irregular
72,72,spoom,spooming,V;V.PTCP;PRS,+ing,Regular
74,74,counterattract,*counterattracting,V;V.PTCP;PRS,special,Irregular
76,76,backdrop,backdropping,V;V.PTCP;PRS,double spell,Irregular
78,78,outbrazen,outbrazening,V;V.PTCP;PRS,+ing,Regular
82,82,thresh,threshing,V;V.PTCP;PRS,+ing,Regular
87,87,unlace,unlacing,V;V.PTCP;PRS,-e+ing,Irregular
90,90,de-muslimize,de-muslimizing,V;V.PTCP;PRS,-e+ing,Irregular
93,93,propitiate,propitiating,V;V.PTCP;PRS,-e+ing,Irregular
99,99,furnish,furnishing,V;V.PTCP;PRS,+ing,Regular
103,103,recommit,recommitting,V;V.PTCP;PRS,double spell,Irregular
104,104,reinfund,reinfunding,V;V.PTCP;PRS,+ing,Regular
106,106,dragnet,dragnetting,V;V.PTCP;PRS,double spell,Irregular
107,107,thermoform,thermoforming,V;V.PTCP;PRS,+ing,Regular
114,114,presspack,presspacking,V;V.PTCP;PRS,+ing,Regular
122,122,tamp,tamping,V;V.PTCP;PRS,+ing,Regular
127,127,exist,existing,V;V.PTCP;PRS,+ing,Regular
128,128,noodge,noodging,V;V.PTCP;PRS,-e+ing,Irregular
132,132,intercorrelate,intercorrelating,V;V.PTCP;PRS,-e+ing,Irregular
138,138,wibble,wibbling,V;V.PTCP;PRS,-e+ing,Irregular
139,139,bergh,berghing,V;V.PTCP;PRS,+ing,Regular
146,146,miskick,miskicking,V;V.PTCP;PRS,+ing,Regular
148,148,autotune,autotuning,V;V.PTCP;PRS,-e+ing,Irregular
162,162,secretary,secretarying,V;V.PTCP;PRS,+ing,Regular
165,165,revalidate,revalidating,V;V.PTCP;PRS,-e+ing,Irregular
175,175,reproof,reproofing,V;V.PTCP;PRS,+ing,Regular
178,178,mispunctuate,mispunctuating,V;V.PTCP;PRS,-e+ing,Irregular
180,180,succede,succeding,V;V.PTCP;PRS,-e+ing,Irregular
184,184,mass-produce,mass-producing,V;V.PTCP;PRS,-e+ing,Irregular
185,185,homœopathize,homœopathizing,V;V.PTCP;PRS,-e+ing,Irregular
187,187,preapologize,preapologizing,V;V.PTCP;PRS,-e+ing,Irregular
190,190,essoign,essoigning,V;V.PTCP;PRS,+ing,Regular
191,191,shuggle,shuggling,V;V.PTCP;PRS,-e+ing,Irregular
199,199,inventory,inventorying,V;V.PTCP;PRS,+ing,Regular
201,201,spot,spotting,V;V.PTCP;PRS,double spell,Irregular
202,202,muslimise,muslimising,V;V.PTCP;PRS,-e+ing,Irregular
203,203,dry-clean,dry-cleaning,V;V.PTCP;PRS,+ing,Regular
204,204,bedeck,bedecking,V;V.PTCP;PRS,+ing,Regular
212,212,misselect,misselecting,V;V.PTCP;PRS,+ing,Regular
224,224,characterise,characterising,V;V.PTCP;PRS,-e+ing,Irregular
228,228,uprush,uprushing,V;V.PTCP;PRS,+ing,Regular
234,234,basset,basseting,V;V.PTCP;PRS,+ing,Regular
235,235,exuscitate,exuscitating,V;V.PTCP;PRS,-e+ing,Irregular
249,249,salaam,salaaming,V;V.PTCP;PRS,+ing,Regular
256,256,upwaft,upwafting,V;V.PTCP;PRS,+ing,Regular
260,260,glutch,glutching,V;V.PTCP;PRS,+ing,Regular
261,261,garter,gartering,V;V.PTCP;PRS,+ing,Regular
268,268,sjamboke,sjamboking,V;V.PTCP;PRS,-e+ing,Irregular
273,273,outleap,outleaping,V;V.PTCP;PRS,+ing,Regular
274,274,caseharden,casehardening,V;V.PTCP;PRS,+ing,Regular
275,275,rethank,rethanking,V;V.PTCP;PRS,+ing,Regular
279,279,troak,troaking,V;V.PTCP;PRS,+ing,Regular
280,280,tarry,tarrying,V;V.PTCP;PRS,+ing,Regular
282,282,begloom,beglooming,V;V.PTCP;PRS,+ing,Regular
287,287,pooh,poohing,V;V.PTCP;PRS,+ing,Regular
289,289,chitter,chittering,V;V.PTCP;PRS,+ing,Regular
299,299,revalorize,revalorizing,V;V.PTCP;PRS,-e+ing,Irregular
302,302,basify,basifying,V;V.PTCP;PRS,+ing,Regular
304,304,barnacle,barnacling,V;V.PTCP;PRS,-e+ing,Irregular
305,305,disarticulate,disarticulating,V;V.PTCP;PRS,-e+ing,Irregular
315,315,'umble,'umbling,V;V.PTCP;PRS,-e+ing,Irregular
318,318,adjudicate,adjudicating,V;V.PTCP;PRS,-e+ing,Irregular
326,326,invigorate,invigorating,V;V.PTCP;PRS,-e+ing,Irregular
335,335,indulgiate,indulgiating,V;V.PTCP;PRS,-e+ing,Irregular
337,337,xylograph,xylographing,V;V.PTCP;PRS,+ing,Regular
339,339,intervene,intervening,V;V.PTCP;PRS,-e+ing,Irregular
343,343,jump,jumping,V;V.PTCP;PRS,+ing,Regular
359,359,disannex,disannexing,V;V.PTCP;PRS,+ing,Regular
367,367,ladle,ladling,V;V.PTCP;PRS,-e+ing,Irregular
368,368,reflash,reflashing,V;V.PTCP;PRS,+ing,Regular
371,371,yabby,yabbying,V;V.PTCP;PRS,+ing,Regular
375,375,supernaturalize,supernaturalizing,V;V.PTCP;PRS,-e+ing,Irregular
377,377,trounce,trouncing,V;V.PTCP;PRS,-e+ing,Irregular
381,381,implead,impleading,V;V.PTCP;PRS,+ing,Regular
397,397,lip,lipping,V;V.PTCP;PRS,double spell,Irregular
410,410,vole,voling,V;V.PTCP;PRS,-e+ing,Irregular
415,415,prink,prinking,V;V.PTCP;PRS,+ing,Regular
419,419,devulgarize,devulgarizing,V;V.PTCP;PRS,-e+ing,Irregular
422,422,toss,tossing,V;V.PTCP;PRS,+ing,Regular
