	Index	root	inflection	tag	rule	reg	diff	count	each count
0	0	malinvest	malinvest	V;NFIN	no change	Regular	-	2035	2008
1	1	engender	engender	V;NFIN	no change	Regular	-	2035	2008
2	2	stodge	stodged	V;PST	+d	Irregular	-d	1718	856
3	3	oversew	oversew	V;NFIN	no change	Regular	-	2035	2008
4	4	psychoanalyse	psychoanalysing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
5	5	foray	forayed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
6	6	diy	diys	V;3;SG;PRS	+s	Regular	-s	1842	1842
7	7	pearl	pearling	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
8	8	use	uses	V;3;SG;PRS	+s	Regular	-s	1842	1842
9	9	strong-arm	strong-armed	V;PST	+ed	Regular	-ed	1605	817
10	10	reprobate	reprobated	V;PST	+d	Irregular	-d	1718	856
11	11	beshout	beshouted	V;PST	+ed	Regular	-ed	1605	817
12	12	craze	crazes	V;3;SG;PRS	+s	Regular	-s	1842	1842
13	13	deaden	deadening	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
14	14	repartee	repartees	V;3;SG;PRS	+s	Regular	-s	1842	1842
15	15	topinch	topinches	V;3;SG;PRS	+es	Irregular	-es	103	103
16	16	tub	tub	V;NFIN	no change	Regular	-	2035	2008
17	17	embroid	embroided	V;PST	+ed	Regular	-ed	1605	817
18	18	apay	apay	V;NFIN	no change	Regular	-	2035	2008
19	19	chuckle	chuckle	V;NFIN	no change	Regular	-	2035	2008
20	20	secern	secerns	V;3;SG;PRS	+s	Regular	-s	1842	1842
21	21	overweather	overweather	V;NFIN	no change	Regular	-	2035	2008
22	22	dock	docks	V;3;SG;PRS	+s	Regular	-s	1842	1842
23	23	cosh	coshing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
24	24	hearthstone	hearthstoned	V;V.PTCP;PST	+d	Irregular	-d	1718	862
25	25	template	templated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
26	26	destigmatise	destigmatised	V;PST	+d	Irregular	-d	1718	856
27	27	spark	sparking	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
28	28	unhyphenate	unhyphenates	V;3;SG;PRS	+s	Regular	-s	1842	1842
29	29	bulk	bulked	V;PST	+ed	Regular	-ed	1605	817
30	30	disordain	disordained	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
31	31	unvisard	unvisard	V;NFIN	no change	Regular	-	2035	2008
32	32	onlap	onlap	V;NFIN	no change	Regular	-	2035	2008
33	33	cund	cunded	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
34	34	toquake	toquakes	V;3;SG;PRS	+s	Regular	-s	1842	1842
35	35	deauthorise	deauthorising	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
36	36	quitch	quitched	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
37	37	hollywoodize	hollywoodizing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
38	38	remotivate	remotivate	V;NFIN	no change	Regular	-	2035	2008
39	39	instimulate	instimulated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
40	40	debleat	debleat	V;NFIN	no change	Regular	-	2035	2008
41	41	slander	slanders	V;3;SG;PRS	+s	Regular	-s	1842	1842
42	42	communicate	communicates	V;3;SG;PRS	+s	Regular	-s	1842	1842
43	43	europeanize	europeanizing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
44	44	sheriff	sheriffed	V;PST	+ed	Regular	-ed	1605	817
45	45	postdict	postdicted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
46	46	wrongtake	wrongtook	V;PST	special	Irregular	ake-ook	6	6
47	47	grubble	grubbled	V;PST	+d	Irregular	-d	1718	856
48	48	distract	distracted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
49	49	forhale	forhaled	V;PST	+d	Irregular	-d	1718	856
50	50	stomack	stomacked	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
51	51	disapply	disapplying	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
52	52	spool	spooled	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
53	53	hypothecate	hypothecates	V;3;SG;PRS	+s	Regular	-s	1842	1842
54	54	stabilise	stabilised	V;V.PTCP;PST	+d	Irregular	-d	1718	862
55	55	vaunce	vaunces	V;3;SG;PRS	+s	Regular	-s	1842	1842
56	56	sluff	sluff	V;NFIN	no change	Regular	-	2035	2008
57	57	loff	loff	V;NFIN	no change	Regular	-	2035	2008
58	58	moider	moidering	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
59	59	require	required	V;PST	+d	Irregular	-d	1718	856
60	60	jaculate	jaculate	V;NFIN	no change	Regular	-	2035	2008
61	61	autoclave	autoclaving	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
62	62	lampwork	lampworks	V;3;SG;PRS	+s	Regular	-s	1842	1842
63	63	disarticulate	disarticulated	V;PST	+d	Irregular	-d	1718	856
64	64	coregister	coregistering	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
65	65	undercrank	undercranking	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
66	66	acronymise	acronymise	V;NFIN	no change	Regular	-	2035	2008
67	67	redesign	redesigned	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
68	68	outcoach	outcoaching	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
69	69	reinspirit	reinspiriting	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
70	70	cinchonize	cinchonized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
71	71	sonogram	sonogramming	V;V.PTCP;PRS	double spell	Irregular	-ming	12	12
72	72	spoom	spooming	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
73	73	insufflate	insufflated	V;PST	+d	Irregular	-d	1718	856
74	74	counterattract	*counterattracting	V;V.PTCP;PRS	special	Irregular	counteratract-*counteratracting	1	1
