,character,structure,segment,number,
U+04E00,一,,一,象形,
U+04E01,丁,,丁,象形,
U+04E02,丂,,丂,象形,
U+04E03,七,,七,指事,
U+04E08,丈,B,一又,會意,
U+04E09,三,3,一一一,指事,
U+04E0C,丌,,丌,象形,
U+04E0D,不,,不,象形,
U+04E0F,丏,,丏,象形,
U+04E11,丑,,丑,象形,
U+04E14,且,,且,象形,
U+04E15,丕,1,不一,不聲,
U+04E16,世,,世,象形,
U+04E19,丙,,丙,象形,
U+04E1E,丞,B,廾1,卩山,
U+04E20,丠,1,北一,會意,
U+04E29,丩,,丩,象形,
U+04E2D,中,B,口丨,會意,
U+04E2F,丯,,丯,象形,
U+04E30,丰,,丰,象形,
U+04E32,串,,串,象形,
U+04E33,丳,,丳,象形,
U+04E35,丵,,丵,象形,
U+04E36,丶,,丶,象形,
U+04E39,丹,,丹,象形,
U+04E3B,主,1,丶王,丶亦聲,
U+04E3D,丽,,丽,象形,
U+04E3F,丿,,丿,象形,
U+04E42,乂,B,丿乀,會意,
U+04E43,乃,,乃,象形,
U+04E44,乄,,乄,国字,
U+04E45,久,,久,象形,
U+04E47,乇,,乇,象形,
U+04E56,乖,,乖,象形,
U+04E59,乙,,乙,象形,
U+04E5A,乚,,乚,象形,
U+04E5D,九,,九,象形,
U+04E5F,也,,也,象形,
U+04E62,乢,0,山乙,會意,
U+04E73,乳,0,孚乙,孚聲,
U+04E7E,乾,8,倝乙,倝聲,
U+04E82,亂,0,𤔔乙,會意,
U+04E85,亅,,亅,象形,
U+04E86,了,,了,象形,
U+04E88,予,,予,象形,
U+04E8B,事,B,一㕜,會意,
U+04E8C,二,1,一一,指事,
U+04E8E,于,,于,象形,
U+04E8F,亏,1,一丂,會意,
U+04E91,云,,云,象形,
U+04E92,互,,互,象形,
U+04E95,井,,井,象形,
U+04E96,亖,1,二二,會意,
U+04E9B,些,1,此二,此聲,
U+04E9D,亝,,亝,象形,
U+04E9E,亞,,亞,象形,
U+04E9F,亟,4,二2,口人又,
U+04EA0,亠,,亠,,
U+04EA2,亢,,亢,象形,
U+04EA4,交,,交,象形,
U+04EA5,亥,,亥,象形,
U+04EA6,亦,,亦,指事,
U+04EAD,亭,1,高丁,丁聲,
U+04EAE,亮,1,高儿,會意,
U+04EAF,亯,1,高日,會意,
U+04EB3,亳,1,高乇,乇聲,
U+04EB6,亶,1,㐭旦,旦聲,
U+04EBA,人,,人,象形,
U+04EBC,亼,,亼,象形,
U+04EC0,什,0,亻十,十聲,
U+04EC1,仁,0,亻二,會意,
U+04EC2,仂,0,亻扐,扐聲,
U+04EC6,仆,0,亻卜,卜聲,
U+04EC7,仇,0,亻九,九聲,
U+04ECA,今,1,亼乀,會意,
U+04ECB,介,1,人八,會意,
U+04ECC,仌,,仌,象形,
U+04ECD,仍,0,亻乃,乃聲,
U+04ECE,从,0,人人,會意,
U+04ED4,仔,0,亻子,子聲,
U+04ED5,仕,0,亻士,士聲,
U+04ED7,仗,0,亻丈,丈聲,
U+04ED8,付,0,亻父,父聲,
U+04ED9,仙,0,亻山,山聲,
U+04EDA,仚,1,人山,會意,
U+04EDC,仜,0,亻工,工聲,
U+04EDD,仝,1,人工,工聲,
U+04EDE,仞,0,亻刃,刃聲,
U+04EDF,仟,0,亻千,千聲,
U+04EE2,仢,0,亻勺,勺聲,
U+04EE3,代,0,亻弋,弋聲,
U+04EE4,令,1,亼卩,會意,
U+04EF0,仰,0,亻卬,卬聲,
U+04EF2,仲,0,亻中,中亦聲,
U+04EF3,仳,0,亻比,比聲,
U+04EF6,件,0,亻牛,會意,
U+04EF7,价,0,亻介,介聲,
U+04EFB,任,0,亻壬,壬聲,
U+04EFD,份,0,亻分,分聲,
U+04EFF,仿,0,亻方,方聲,
U+04F00,伀,0,亻公,公聲,
U+04F01,企,1,人止,會意,
U+04F03,伃,0,亻予,予聲,
U+04F09,伉,0,亻亢,亢聲,
U+04F0A,伊,0,亻尹,尹聲,
U+04F0B,伋,0,亻及,及聲,
U+04F0D,伍,0,亻五,五聲,
U+04F0E,伎,0,亻支,支聲,
U+04F0F,伏,0,亻犬,會意,
U+04F10,伐,0,亻戈,會意,
U+04F11,休,0,亻木,會意,
U+04F2D,伭,0,亻弦,弦聲,
U+04F2F,伯,0,亻白,白聲,
U+04F30,估,0,亻古,古聲,
U+04F34,伴,0,亻半,半聲,
U+04F36,伶,0,亻令,令聲,
U+04F38,伸,0,亻申,申聲,
U+04F39,伹,0,亻且,且聲,
U+04F3A,伺,0,亻司,司聲,
U+04F3C,似,0,亻以,以聲,
U+04F3D,伽,0,亻加,加聲,
U+04F3E,伾,0,亻丕,丕聲,
U+04F3F,伿,0,亻只,只聲,
U+04F40,佀,0,亻㠯,㠯聲,
U+04F41,佁,0,亻台,台聲,
U+04F43,佃,0,亻田,田聲,
U+04F46,但,0,亻旦,旦聲,
U+04F47,佇,0,亻宁,宁聲,
U+04F4B,佋,0,亻召,召聲,
U+04F4D,位,0,亻立,會意,
U+04F4E,低,0,亻氐,氐亦聲,
U+04F4F,住,0,亻主,主聲,
U+04F50,佐,0,亻左,左聲,
U+04F51,佑,0,亻右,右聲,
U+04F55,何,0,亻可,可聲,
U+04F56,佖,0,亻必,必聲,
U+04F57,佗,0,亻它,它聲,
U+04F59,余,1,舍八,舍省聲,
U+04F5A,佚,0,亻失,失聲,
U+04F5B,佛,0,亻弗,弗聲,
U+04F5C,作,0,亻乍,乍聲,
U+04F5D,佝,0,亻句,句聲,
U+04F5E,佞,8,仁女,仁聲,
U+04F66,佦,0,亻石,国字,
U+04F69,佩,0,亻5,凡巾,
U+04F6E,佮,0,亻合,合聲,
U+04F6F,佯,0,亻羊,羊聲,
U+04F70,佰,0,亻百,百聲,
U+04F73,佳,0,亻圭,圭聲,
U+04F74,佴,0,亻耳,耳聲,
U+04F76,佶,0,亻吉,吉聲,
U+04F7A,佺,0,亻全,全聲,
U+04F7B,佻,0,亻兆,兆聲,
U+04F7C,佼,0,亻交,交聲,
U+04F7D,佽,0,亻次,次聲,
U+04F7E,佾,0,亻䏌,䏌聲,
U+04F81,侁,0,亻先,先聲,
U+04F82,侂,0,亻㡯,㡯聲,
U+04F85,侅,0,亻亥,亥聲,
U+04F86,來,,來,象形,
U+04F88,侈,0,亻多,多聲,
U+04F89,侉,0,亻夸,夸聲,
U+04F8A,侊,0,亻光,光聲,
U+04F8C,侌,1,今云,今聲,
U+04F8D,侍,0,亻寺,寺聲,
U+04F8E,侎,0,亻米,米聲,
U+04F8F,侏,0,亻朱,朱聲,
U+04F90,侐,0,亻血,血聲,
U+04F91,侑,0,亻有,有聲,
U+04F92,侒,0,亻安,安聲,
U+04F94,侔,0,亻牟,牟聲,
U+04F96,侖,1,亼冊,會意,
U+04F97,侗,0,亻同,同聲,
U+04F98,侘,0,亻宅,宅聲,
U+04F99,侙,0,亻式,式聲,
U+04F9A,侚,0,亻旬,旬聲,
U+04F9B,供,0,亻共,共聲,
U+04F9C,侜,0,亻舟,舟聲,
U+04F9D,依,0,亻衣,衣聲,
U+04FA4,侤,0,亻考,国字,
U+04FAE,侮,0,亻毎,毎聲,
U+04FB0,侰,0,亻君,君聲,
U+04FB2,侲,0,亻辰,辰聲,
U+04FB6,侶,0,亻呂,呂聲,
U+04FB8,侸,0,亻豆,豆聲,
U+04FB9,侹,0,亻廷,廷聲,
U+04FC1,俁,0,亻吳,吳聲,
U+04FC2,係,0,亻系,系聲,
U+04FC3,促,0,亻足,足聲,
U+04FC4,俄,0,亻我,我聲,
U+04FC5,俅,0,亻求,求聲,
U+04FC6,俆,0,亻余,余聲,
U+04FCA,俊,0,亻夋,夋聲,
U+04FCC,俌,0,亻甫,甫聲,
U+04FCE,俎,0,仌且,會意,
U+04FD0,俐,0,亻利,利聲,
U+04FD1,俑,0,亻甬,甬聲,
U+04FD2,俒,0,亻完,會意,
U+04FD4,俔,0,亻見,見聲,
U+04FD7,俗,0,亻谷,谷聲,
U+04FD8,俘,0,亻孚,孚聲,
U+04FD9,俙,0,亻希,希聲,
U+04FDA,俚,0,亻里,里聲,
U+04FDB,俛,0,亻免,免聲,
U+04FDC,俜,0,亻甹,甹聲,
U+04FDF,俟,0,亻矣,矣聲,
U+04FE0,俠,0,亻夾,夾聲,
U+04FE1,信,0,亻言,會意,
U+04FE3,俣,0,亻吴,国字,
U+04FE4,俤,0,亻弟,国字,
U+04FE5,俥,0,亻車,国字,
U+04FE7,俧,0,亻志,国字,
U+04FEE,修,8,攸彡,攸聲,
U+04FEF,俯,0,亻府,府聲,
U+04FF3,俳,0,亻非,非聲,
U+04FF4,俴,0,亻戔,戔聲,
U+04FF5,俵,0,亻表,表聲,
U+04FF6,俶,0,亻叔,叔聲,
U+04FF8,俸,0,亻奉,奉聲,
U+04FFA,俺,0,亻𡘹,𡘹聲,
U+04FFE,俾,0,亻卑,卑聲,
U+05000,倀,0,亻長,長聲,
U+05002,倂,0,亻幷,幷聲,
U+05003,倃,0,亻咎,咎聲,
U+05004,倄,0,亻肴,肴聲,
U+05005,倅,0,亻卒,卒聲,
U+05006,倆,0,亻兩,兩聲,
U+05009,倉,,倉,象形,
U+0500B,個,0,亻固,固聲,
