,index,Unicode_Character,character,structure,segment,pinyin,segment1,segment2,pinyin1,pinyin2,consonant,vowel,tone,consonant1,vowel1,tone1,consonant2,vowel2,tone2,segment1_sound,segment2_sound
0,4,U+04E08,丈,B,一又,zhang4,一,又,yi1,you4,zh,ang,4,y,i,1,y,ou,4,"[0, 0, 0]","[0, 0, 1]"
1,11,U+04E15,丕,1,不一,pi1,不,一,bu4,yi1,p,i,1,b,u,4,y,i,1,"[0, 0, 0]","[0, 1, 1]"
3,15,U+04E20,丠,1,北一,qiu1,北,一,bei3,yi1,q,iu,1,b,ei,3,y,i,1,"[0, 0, 0]","[0, 0, 1]"
4,17,U+04E2D,中,B,口丨,zhong1,口,丨,kou3,gun3,zh,ong,1,k,ou,3,g,un,3,"[0, 0, 0]","[0, 0, 0]"
5,25,U+04E3B,主,1,丶王,zhu3,丶,王,zhu3,wang2,zh,u,3,zh,u,3,w,ang,2,"[1, 1, 1]","[0, 0, 0]"
6,28,U+04E42,乂,B,丿乀,yi4,丿,乀,pie3,fu2,y,i,4,p,ie,3,f,u,2,"[0, 0, 0]","[0, 0, 0]"
7,38,U+04E62,乢,0,山乙,gai4,山,乙,shan1,yi3,g,ai,4,sh,an,1,y,i,3,"[0, 0, 0]","[0, 0, 0]"
8,39,U+04E73,乳,0,孚乙,ru3,孚,乙,fu2,yi3,r,u,3,f,u,2,y,i,3,"[0, 1, 0]","[0, 0, 1]"
9,40,U+04E7E,乾,8,倝乙,gan1,倝,乙,gan4,yi3,g,an,1,g,an,4,y,i,3,"[1, 1, 0]","[0, 0, 0]"
12,46,U+04E8C,二,1,一一,er4,一,一,yi1,yi1,00,er,4,y,i,1,y,i,1,"[0, 0, 0]","[0, 0, 0]"
13,48,U+04E8F,亏,1,一丂,yu2,一,丂,yi1,kao3,y,u,2,y,i,1,k,ao,3,"[1, 0, 0]","[0, 0, 0]"
14,52,U+04E96,亖,1,二二,si4,二,二,er4,er4,s,i,4,00,er,4,00,er,4,"[0, 0, 1]","[0, 0, 1]"
15,53,U+04E9B,些,1,此二,xie1,此,二,ci3,er4,x,ie,1,c,i,3,00,er,4,"[0, 0, 0]","[0, 0, 0]"
17,62,U+04EAD,亭,1,高丁,ting2,高,丁,gao1,ding1,t,ing,2,g,ao,1,d,ing,1,"[0, 0, 0]","[0, 1, 0]"
18,63,U+04EAE,亮,1,高儿,liang4,高,儿,gao1,er2,l,iang,4,g,ao,1,00,er,2,"[0, 0, 0]","[0, 0, 0]"
19,64,U+04EAF,亯,1,高日,xiang3,高,日,gao1,ri4,x,iang,3,g,ao,1,r,i,4,"[0, 0, 0]","[0, 0, 0]"
20,65,U+04EB3,亳,1,高乇,bo2,高,乇,gao1,zhe2,b,o,2,g,ao,1,zh,e,2,"[0, 0, 0]","[0, 0, 1]"
22,69,U+04EC0,什,0,亻十,shi2,亻,十,ren2,shi2,sh,i,2,r,en,2,sh,i,2,"[0, 0, 1]","[1, 1, 1]"
23,70,U+04EC1,仁,0,亻二,ren2,亻,二,ren2,er4,r,en,2,r,en,2,00,er,4,"[1, 1, 1]","[0, 0, 0]"
24,71,U+04EC2,仂,0,亻扐,le4,亻,扐,ren2,le4,l,e,4,r,en,2,l,e,4,"[0, 0, 0]","[1, 1, 1]"
25,72,U+04EC6,仆,0,亻卜,pu1,亻,卜,ren2,bu3,p,u,1,r,en,2,b,u,3,"[0, 0, 0]","[0, 1, 0]"
26,73,U+04EC7,仇,0,亻九,chou2,亻,九,ren2,jiu3,ch,ou,2,r,en,2,j,iu,3,"[0, 0, 1]","[0, 0, 0]"
27,74,U+04ECA,今,1,亼乀,jin1,亼,乀,ji2,fu2,j,in,1,j,i,2,f,u,2,"[1, 0, 0]","[0, 0, 0]"
28,75,U+04ECB,介,1,人八,jie4,人,八,ren2,ba1,j,ie,4,r,en,2,b,a,1,"[0, 0, 0]","[0, 0, 0]"
29,77,U+04ECD,仍,0,亻乃,reng2,亻,乃,ren2,nai3,r,eng,2,r,en,2,n,ai,3,"[1, 0, 1]","[0, 0, 0]"
30,78,U+04ECE,从,0,人人,cong2,人,人,ren2,ren2,c,ong,2,r,en,2,r,en,2,"[0, 0, 1]","[0, 0, 1]"
31,79,U+04ED4,仔,0,亻子,zi3,亻,子,ren2,zi3,z,i,3,r,en,2,z,i,3,"[0, 0, 0]","[1, 1, 1]"
32,80,U+04ED5,仕,0,亻士,shi4,亻,士,ren2,shi4,sh,i,4,r,en,2,sh,i,4,"[0, 0, 0]","[1, 1, 1]"
33,81,U+04ED7,仗,0,亻丈,zhang4,亻,丈,ren2,zhang4,zh,ang,4,r,en,2,zh,ang,4,"[0, 0, 0]","[1, 1, 1]"
34,82,U+04ED8,付,0,亻父,fu4,亻,父,ren2,fu4,f,u,4,r,en,2,f,u,4,"[0, 0, 0]","[1, 1, 1]"
35,83,U+04ED9,仙,0,亻山,xian1,亻,山,ren2,shan1,x,ian,1,r,en,2,sh,an,1,"[0, 0, 0]","[0, 0, 1]"
36,84,U+04EDA,仚,1,人山,xian1,人,山,ren2,shan1,x,ian,1,r,en,2,sh,an,1,"[0, 0, 0]","[0, 0, 1]"
37,85,U+04EDC,仜,0,亻工,hong2,亻,工,ren2,gong1,h,ong,2,r,en,2,g,ong,1,"[0, 0, 1]","[0, 1, 0]"
38,86,U+04EDD,仝,1,人工,tong2,人,工,ren2,gong1,t,ong,2,r,en,2,g,ong,1,"[0, 0, 1]","[0, 1, 0]"
39,87,U+04EDE,仞,0,亻刃,ren4,亻,刃,ren2,ren4,r,en,4,r,en,2,r,en,4,"[1, 1, 0]","[1, 1, 1]"
40,88,U+04EDF,仟,0,亻千,qian1,亻,千,ren2,qian1,q,ian,1,r,en,2,q,ian,1,"[0, 0, 0]","[1, 1, 1]"
41,89,U+04EE2,仢,0,亻勺,di2,亻,勺,ren2,shao2,d,i,2,r,en,2,sh,ao,2,"[0, 0, 1]","[0, 0, 1]"
42,90,U+04EE3,代,0,亻弋,dai4,亻,弋,ren2,yi4,d,ai,4,r,en,2,y,i,4,"[0, 0, 0]","[0, 0, 1]"
43,91,U+04EE4,令,1,亼卩,ling4,亼,卩,ji2,jie2,l,ing,4,j,i,2,j,ie,2,"[0, 0, 0]","[0, 0, 0]"
44,92,U+04EF0,仰,0,亻卬,yang3,亻,卬,ren2,ang2,y,ang,3,r,en,2,00,ang,2,"[0, 0, 0]","[0, 1, 0]"
45,93,U+04EF2,仲,0,亻中,zhong4,亻,中,ren2,zhong1,zh,ong,4,r,en,2,zh,ong,1,"[0, 0, 0]","[1, 1, 0]"
46,94,U+04EF3,仳,0,亻比,pi3,亻,比,ren2,bi3,p,i,3,r,en,2,b,i,3,"[0, 0, 0]","[0, 1, 1]"
47,95,U+04EF6,件,0,亻牛,jian4,亻,牛,ren2,niu2,j,ian,4,r,en,2,n,iu,2,"[0, 0, 0]","[0, 0, 0]"
48,96,U+04EF7,价,0,亻介,jia4,亻,介,ren2,jie4,j,ia,4,r,en,2,j,ie,4,"[0, 0, 0]","[1, 0, 1]"
49,97,U+04EFB,任,0,亻壬,ren4,亻,壬,ren2,ren2,r,en,4,r,en,2,r,en,2,"[1, 1, 0]","[1, 1, 0]"
50,98,U+04EFD,份,0,亻分,fen4,亻,分,ren2,fen1,f,en,4,r,en,2,f,en,1,"[0, 1, 0]","[1, 1, 0]"
51,99,U+04EFF,仿,0,亻方,fang3,亻,方,ren2,fang1,f,ang,3,r,en,2,f,ang,1,"[0, 0, 0]","[1, 1, 0]"
52,100,U+04F00,伀,0,亻公,zhong1,亻,公,ren2,gong1,zh,ong,1,r,en,2,g,ong,1,"[0, 0, 0]","[0, 1, 1]"
53,101,U+04F01,企,1,人止,qi3,人,止,ren2,zhi3,q,i,3,r,en,2,zh,i,3,"[0, 0, 0]","[0, 1, 1]"
54,102,U+04F03,伃,0,亻予,yu2,亻,予,ren2,yu2,y,u,2,r,en,2,y,u,2,"[0, 0, 1]","[1, 1, 1]"
55,103,U+04F09,伉,0,亻亢,kang4,亻,亢,ren2,kang4,k,ang,4,r,en,2,k,ang,4,"[0, 0, 0]","[1, 1, 1]"
56,104,U+04F0A,伊,0,亻尹,yi1,亻,尹,ren2,yin3,y,i,1,r,en,2,y,in,3,"[0, 0, 0]","[1, 0, 0]"
57,105,U+04F0B,伋,0,亻及,ji2,亻,及,ren2,ji2,j,i,2,r,en,2,j,i,2,"[0, 0, 1]","[1, 1, 1]"
58,106,U+04F0D,伍,0,亻五,wu3,亻,五,ren2,wu3,w,u,3,r,en,2,w,u,3,"[0, 0, 0]","[1, 1, 1]"
59,107,U+04F0E,伎,0,亻支,ji4,亻,支,ren2,zhi1,j,i,4,r,en,2,zh,i,1,"[0, 0, 0]","[0, 1, 0]"
60,108,U+04F0F,伏,0,亻犬,fu2,亻,犬,ren2,quan3,f,u,2,r,en,2,q,uan,3,"[0, 0, 1]","[0, 0, 0]"
61,109,U+04F10,伐,0,亻戈,fa2,亻,戈,ren2,ge1,f,a,2,r,en,2,g,e,1,"[0, 0, 1]","[0, 0, 0]"
62,110,U+04F11,休,0,亻木,xiu1,亻,木,ren2,mu4,x,iu,1,r,en,2,m,u,4,"[0, 0, 0]","[0, 0, 0]"
63,111,U+04F2D,伭,0,亻弦,xuan2,亻,弦,ren2,xian2,x,uan,2,r,en,2,x,ian,2,"[0, 0, 1]","[1, 0, 1]"
64,112,U+04F2F,伯,0,亻白,bo2,亻,白,ren2,bai2,b,o,2,r,en,2,b,ai,2,"[0, 0, 1]","[1, 0, 1]"
65,113,U+04F30,估,0,亻古,gu1,亻,古,ren2,gu3,g,u,1,r,en,2,g,u,3,"[0, 0, 0]","[1, 1, 0]"
66,114,U+04F34,伴,0,亻半,ban4,亻,半,ren2,ban4,b,an,4,r,en,2,b,an,4,"[0, 0, 0]","[1, 1, 1]"
67,115,U+04F36,伶,0,亻令,ling2,亻,令,ren2,ling4,l,ing,2,r,en,2,l,ing,4,"[0, 0, 1]","[1, 1, 0]"
68,116,U+04F38,伸,0,亻申,shen1,亻,申,ren2,shen1,sh,en,1,r,en,2,sh,en,1,"[0, 1, 0]","[1, 1, 1]"
69,117,U+04F39,伹,0,亻且,qu1,亻,且,ren2,qie3,q,u,1,r,en,2,q,ie,3,"[0, 0, 0]","[1, 0, 0]"
70,118,U+04F3A,伺,0,亻司,si4,亻,司,ren2,si1,s,i,4,r,en,2,s,i,1,"[0, 0, 0]","[1, 1, 0]"
71,119,U+04F3C,似,0,亻以,si4,亻,以,ren2,yi3,s,i,4,r,en,2,y,i,3,"[0, 0, 0]","[0, 1, 0]"
72,120,U+04F3D,伽,0,亻加,qie2,亻,加,ren2,jia1,q,ie,2,r,en,2,j,ia,1,"[0, 0, 1]","[0, 0, 0]"
73,121,U+04F3E,伾,0,亻丕,pi1,亻,丕,ren2,pi1,p,i,1,r,en,2,p,i,1,"[0, 0, 0]","[1, 1, 1]"
74,122,U+04F3F,伿,0,亻只,yi4,亻,只,ren2,zhi3,y,i,4,r,en,2,zh,i,3,"[0, 0, 0]","[0, 1, 0]"
76,124,U+04F41,佁,0,亻台,ai3,亻,台,ren2,tai2,00,ai,3,r,en,2,t,ai,2,"[0, 0, 0]","[0, 1, 0]"
77,125,U+04F43,佃,0,亻田,dian4,亻,田,ren2,tian2,d,ian,4,r,en,2,t,ian,2,"[0, 0, 0]","[0, 1, 0]"
